0 0  -0 1
491001 0.004268185209  -0.01658800047 0.9998532996
492001 -0.003789480581  0.016856805 0.9998507328
493001 0.0023997977  -0.01691670744 0.9998540223
494001 -0.002087423669  0.01697046253 0.9998538123
495001 0.001409290166  -0.01641681556 0.9998642418
496001 -0.001026155379  0.01680441272 0.9998582693
497001 0.0003902046528  -0.01698037758 0.9998557468
498001 0.0001852798383  0.01704078082 0.9998547782
499001 -0.0004102001963  -0.01651272348 0.9998635715
500001 0.0005944114899  0.01690307619 0.9998569561
501001 -0.001378364742  -0.01705391711 0.9998536213
502001 0.002508861041  0.01637778317 0.9998627275
503001 -0.002675005505  -0.01670916596 0.9998568138
504001 0.004137927719  0.01643566617 0.9998563629
505001 -0.004891777109  -0.01612089379 0.9998580836
506001 0.005460521555  0.01620217034 0.9998538255
507001 -0.00743483714  -0.01697083529 0.9998283422
508001 0.008656704765  0.01614947653 0.9998321138
509001 -0.009442278353  -0.01561500452 0.9998334936
510001 0.01082433423  0.01465304706 0.9998340472
511001 -0.01134736949  -0.01375122573 0.9998410579
512001 0.01218520944  0.01340869969 0.9998358502
513001 -0.01308113605  -0.01260070654 0.9998350394
514001 0.01314747308  0.01141544708 0.9998484043
515001 -0.01378034595  -0.01063757193 0.9998484606
516001 0.01400603859  0.01019283306 0.9998499573
517001 -0.01437767853  -0.009987208728 0.9998467573
518001 0.01467990862  0.009373579165 0.9998483066
519001 -0.01577750444  -0.00890476129 0.9998358743
520001 0.01622068387  0.00741353431 0.9998409518
521001 -0.01591745491  -0.006344961685 0.9998531773
522001 0.01589333767  0.00570267494 0.9998574305
523001 -0.01564254763  -0.00490232005 0.9998656299
524001 0.01567726145  0.003852803346 0.9998696812
525001 -0.01586118491  -0.002433674819 0.9998712417
526001 0.0167018348  0.001674868932 0.9998591118
527001 -0.01643923196  -0.0004450960244 0.9998647676
528001 0.01675939432  0.001105766413 0.99985894
529001 -0.01668396397  -0.001197825871 0.9998600955
530001 0.01677545615  -9.306776631e-05 0.9998592778
531001 -0.01732601626  0.0006636358046 0.9998496731
532001 0.01748615694  -0.001539736687 0.9998459199
533001 -0.01720594261  0.002482325596 0.9998488854
534001 0.01695448398  -0.003285035492 0.9998508659
535001 -0.01574591032  0.004547612527 0.9998656837
536001 0.0155100545  -0.005013713257 0.9998671416
537001 -0.01523436415  0.006063782506 0.9998655633
538001 0.01509946694  -0.00604212071 0.9998677407
539001 -0.01476084729  0.007258527773 0.9998647064
540001 0.01443198983  -0.007954577248 0.999864212
541001 -0.0138530915  0.008525891167 0.9998676918
542001 0.01384462832  -0.009480484004 0.9998592134
543001 -0.01378900129  0.01016080216 0.9998533
544001 0.01325597106  -0.01060146321 0.9998559337
545001 -0.0119263401  0.01172576363 0.9998601246
546001 0.01158007552  -0.01261086387 0.9998534232
547001 -0.01017873436  0.01435923259 0.9998450909
548001 0.009473493594  -0.01456482812 0.9998490479
549001 -0.008182715579  0.01451499629 0.9998611694
550001 0.007476989227  -0.0147850612 0.9998627389
551001 -0.006706092451  0.01519545498 0.9998620537
552001 0.006353960188  -0.0149323404 0.9998683175
553001 -0.005469078907  0.01513991983 0.9998704276
554001 0.00495189025  -0.01592170046 0.9998609794
